Movie,Worldwide Net Revenue
Astro Boy,-23363757 
"I, Frankenstein",9575290 
Underwater,-25822505 
Hudson Hawk,-47781084 
Sin City: A Dame to Kill For,-24349158 
Live by Night,-43225568 
Lucky Numbers,-54985766 
Oliver Twist,-38329080 
Tian jiang xiong shi,57519874 
Air Strike,-64483721 
Extraction,-65000000 
Prey,-65000000 
Little Man,37636047 
Clifford the Big Red Dog,14263651 
Random Hearts,-800000 
Perfume: The Story of a Murderer,69903463 
Jurassic Park,982573035 
Austin Powers in Goldmember,233338663 
Hop,125494082 
American Assassin,5310140 
Wyatt Earp,-37948000 
Clear and Present Danger,145500000 
U-571,65630030 
The American President,45822813 
The Hateful Eight,89813358 
The Love Guru,-21840983 
3000 Miles to Graceland,-43291152 
Gone Girl,306160781 
A Quiet Place: Part II,235650356 
Blades of Glory,84594548 
Maze Runner: The Scorch Trials,249566162 
2 Guns,71493015 
Maze Runner: The Death Cure,204878536 
A Dog’s Way Home,20152505 
Mei Ren Yu,464298479 
Meet the Fockers,456567575 
The Lego Movie,408084718 
300,394161935 
Wild Hogs,193555383 
